<<<<<<< HEAD
보밍뿌,탑리뷰어,2024-12-09,(앙고라기모ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,170.0,53.0,55,"넘무넘무 예쁘고 편해요 🥹 캡내장 나시 자주 안입어봤는데 한번 입어보니까 집에서도 계속 입고있게 되네요?
그리고 캡내장된 모양이 몸 라인에 잘 어울려서 더 예뻐보여요 🩷
포슬포슬한 느낌도 귀여워용"
쿼카바라,상위 5%,2024-11-29,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,55.0,55,"✔️키:159cm 몸무게:55kg 바스트:75c 힙: 38인치
✔️상의: 55 m 사이즈 하의:28 

가디건 오픈해서 입었을 때 함께 입으려고 구매했습니다! 핏이랑 안비치는지 제일 중요하게 보고 구매하였는데 두 부분 다 아주 만족스러워요!!

1번이 정면 사진인데 너무 심하게 파이지도 않아 만족스럽고 볼륨있어보여 핏도 만족스러웠습니다.

2번 사진에서 비치는 정도를 최대한 담으려고 찍었는데
조명앞에서 찍은거라 패드가 살짝 보이는정도이고 일상 생활 할 때 밖에서 보면 거슬릴 정도는 전혀 아니었어요. 흰 나시는 캡보이는게 너무 싫어서 오래 고민하고 찾아보다 구매했는데 이 나시는 천이 약간 도톰한 편이고 두겹 겹쳐있는 디자인이라 거의 안비쳐서 너무 좋았습니다!!

다만 3,4번 사진에서처럼 옆 셔링이 가슴쪽으로 불필요하게 약간 튀어나오더라구요. 셔링 디자인이 제가 입었을 때는 모델분 사진처럼 허리쪽에 들어가 가늘어보이는 효과를 주는게 아니라 약간 잉? 하는 포인트였습니다ㅠ 하지만 단독으로 입을 계획은 없어서 저한테 크게 문제 되는 부분은 아니었어요!

전체적으로 아주 만족합니다! 요고 입고 맘에들어서 또 추가구매했어용

재구매의사:100 추천:100"
슈가슈가링,상위 25%,2024-11-25,(롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,45.0,44,"우선 결론적으로 너무 만족합니다👍

주문할때 캡 내장이라 편할 수 있겠지만 캡 모양이 이상해서 오히려 안 예쁘고 불편하면 어쩌나 걱정했는데 걱정한게 무색할만큼 너무 편하고 입었을때도 들뜸 없이 잘 맞아서 너무 좋았어요ㅎㅎ

그리고 나시 입을 때 제일 신경쓰이는게 부유방 부각인데 이 나시는 확실히 덜한 것 같아요😀 원래 다른 나시 입었을때는 부유방 부각이 심해서 신경쓰였는데 그래도 다른 나시에 비해서 훨씬 덜하더라구요! 저는 부유방이 좀 있는 편이라 저보다 부유방 덜한 분들은 더 만족스러우실 것 같아요

진짜 너무 만족해서 다른 컬러로도 쟁일 생각입니다❤️"
윤꼰듀,상위 5%,2024-11-25,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,48.0,55,"<스펙 159cm 48kg (44반~55)>

✔️컬러
사진보시면 아시겠지만, 저는 핑크/화이트/블랙/아이보리 등 다양하게 구매해서 여기저기 입는데 기본 화이트는 정말 여기저기 입느라 항상 재구매 하는 것 같아요! 핑크는 연보라 한방울 들어간 컬러라 쿨톤에게 찰떡입니다

✔️사이즈
사이즈는 66이신분들까지 가능할 것 같고 가슴이 크신분들은 캡이 잡아주긴 어려울 것 같아요! 키가 크신분들은 롱버전도 크롭하실테니 꼭 롱으로 구매하시길 바라고, 저는 롱 크롭 둘다 구매해서 용도별로 잘 입고 있어요.

마른체형은 충분히 가능하고 66이상 이시거나 가슴C사이즈부터는 캡이 잡아주는게 어려울듯 합니다

✔️디자인 및 재질
어깨끈이 얇은게 가장 마음에 들어요! 특히 운동할때 정말 편하고 옆면 셔링도 있어서 예뻐요 


✔️배송 및 서비스
배송은 역시나 빠르구요,가격도 저렴해서 금방금방 교체해서 입기 딱이에요❤️"
7lU6HbFk,상위 20%,2024-11-22,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,156.0,43.0,44,"너무 편하게 잘 입어서 재구매 했어요!
제가 딱 선호하는 크롭기장의 나시인데다가 셔링이 잡혀있어서 허리가 더 얇아보여요!
생각보다 많이 짧은 편이라 크롭 싫어하시는 분들은 롱기장 구매하셔야 할 것 같아요!
근데 아쉽게도 보풀이 정말정말 잘 일어나는 편입니다ㅠ"
아놔또사고싶다,탑리뷰어,2024-11-15,(롱ver)그레이,one size,정사이즈예요,보통이에요,화면과 비슷해요,162.0,55.0,66,"162 55.5-56

여름에도 여기서 사서 입고다녔는데 
최근에 입으려고 찾아보니 안보여서 재구매했어요
여름엔 사이즈 하나였는데 기장선택 가능해져 좋네요
그레이 롱 선택했는데 팬티라인 위, 배꼽 아래라인 배안보이고 딱 좋아요 부유방 부각도 없고요 
패드 잘 잡아줘야하긴 한데 따로 놀거나 하진 않아요
가격이 좀 오른거 같은데 질도 여름에 비해 더 좋아졋어요 잘입을게요~"
Qkbn5vj7,상위 5%,2024-11-13,(롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,51.0,55,"소재 👍🏽 끈 튼튼함 👍🏽 적당한 캡 👍🏽 롱기장감 👍🏽

진짜 안입고 있는거같은 기분 !! 
일할때 정장안에 입으려고 샀는데 ! 보시다시피,,
잠옷바지에도 그냥 입고 있을만큼에 편안함 이였어용 ! 세탁해도 변형 없고 너무 좋아오🫶🏻
또 주문하러 올게오🫶🏻 좋은제품 저렴하게 감삼니당"
Qkbn5vj7,상위 5%,2024-11-13,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,51.0,55,"소재 👍🏽 끈 튼튼함 👍🏽 적당한 캡 👍🏽 롱기장감 👍🏽

진짜 안입고 있는거같은 기분 !! 
일할때 정장안에 입으려고 샀는데 ! 보시다시피,,
잠옷바지에도 그냥 입고 있을만큼에 편안함 이였어용 ! 세탁해도 변형 없고 너무 좋아오🫶🏻
또 주문하러 올게오🫶🏻 좋은제품 저렴하게 감삼니당"
삐니,상위 30%,2024-11-13,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,153.0,42.0,44,"여름에 나시+셔츠 조합을 좋아하는데 끈 얇고 패드 있는 거 찾다가 검정 먼저 사고 흰색도 추가 구매했습니당!
흰색인데 패드 비침 없는 게 가장 좋았고, 겨드랑이 쪽이 끼진 않는데 또 너무 널널하지도 않아서 만족합니다 :) 
여름에 자주 입어서 자주 빨다보니 보풀은 좀 생기는 것 같은데 전 또 살 의향 있습니다 ㅎㅎ"
세상에똑같은옷은없지,상위 5%,2024-11-06,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,155.0,45.0,44,"더운나라 해외여행갈 때 필수로 챙는 옷!!
캡 있어서 따로 속옷 안 입어도되니까 간편하면서 덜덥고
타이트함보단 편안한 착용감이에요

뽕도 자연스럽게 커보이고 가슴골 안보이는 정도 파임이에요
가슴 부분이 타이트하지 않아서 그런가 부유방도 적당히 가려줘서 해외나가면 분신처럼 입고다녀요

길이감은 키는 작지만 허리 긴 저한테 배꼽 위 1~2cm 정도라서 밑위가 긴 바지랑 입으면 핏이 딱 이뻐요

세탁할 때 뽕이 돌아가는 경우도 있어서 망에 넣는게 좋아요
흰색, 검은색 가지고있는데 흰색은 너무 많이 입으니까 부풀생겨서 이번에 재구매했어요
면이라 부풀은 생기지만 흰색은 어차피 변색되서 오래 못입으니까 괜찮아요!

계속 저렴하게 판매해주세요"
iL2o3KY1,알수없음,2024-10-22,(롱ver)핑크,one size,정사이즈예요,아주 만족해요,화면보다 어두워요,166.0,51.0,55,"🌱 길이감
처음에 숏이랑 롱 둘 다 샀는데 숏은 너무 짧아서 반품..💧바스트 70C-D 인데 저랑 키하고 바스트 비슷하거나 더 크신분들 숏은 피하세요ㅠㅠ 가슴가리개 돼요ㅎㅎ

🌿 착용감
롱이라서 배 걱정없이 다닐 수 있었어요 ㅎㅎ
그리고 패드가 너무 별로라서 칼로 옆에 부분 잘라서 뺐어요 가격 생각하면 패드는 이해 가능..⭐️

☘️색감
홈페이지에 나와있는 색이랑 달라요ㅠㅠ
실제로는 좀 더 보라빛이 많이 나는 색이에요 
그 부분이 좀 아쉽지만 그래도 실제 색도 다른 느낌이로 예쁘긴해요!"
뱃살부쟈,상위 1%,2024-10-22,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,161.0,50.0,44,"기대안했는데 이거 생각보다 요물이네요..?
캡내장된 셔링나시 찾고있었는데 다른건 너무 크롭기장이라 여기서 사봤어요
딱 배꼽가려주는 허리얇아보이는 길이고, 너무 붙지 않고 셔링이 잡혀있어서 뱃살커버도 살짝 됩니당
무엇보다 흰색인데 캡 티가 안나서 조아요 입어보기전엔 캡이 좀 이상하게 생겼네..?했는데 입으니까 짱 자연스러움
끈이 얇아서 떨어질까봐 불안한거빼고 만족!!✌🏻"
nvHrO1nt,상위 1%,2025-01-06,(기모ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,156.0,45.0,44,"대만 여행 때 입으려고 샀는데
저녁이는 조금 쌀쌀하다 하여 기모 있는 제품으로 구입했어요
지금 엄청 추운 날씨에도 실내로 다닐 때는 잘 입고 있어요 ㅎㅎ
마지막 사진 보시면 끈이 조금 얇긴한데 끊어질 거 같지는 않아요!"
jjR7hKam,상위 20%,2024-10-13,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,55.0,66,"저번에 구매했다가 너무 많이 입어 나시 끈부분이 너덜거려 다시 주문했습니다…
나시없는 여름을 생각해보신 적 있으신가요? 우선 저는 없습니다… 특히 뭐 입고가지 고민하기 싫을때 그냥 나시에 셔츠/볼레로/가디건 걸치고 나가는 사람이라, 나시가 제일 편하고 짱짱한걸 선호하는 편인데요 다른 나시들은 브라끈 가려준다 하고 안 가려줌/가슴부분이 과하게 들뜸 하는 문제가 있었는데 이 나시는 캡나시라 편하고 셔링이 예쁘고 무려 겨울에도 입을 수 있게 기모버전이 있다는게 너무 좋았어요!!
파인 옷 안에 이너로 입기도 좋고, 겨울에도 정말 잘 입었습니다! 
다만 제가 구매 후 초반에 엄청 막 입었는데(특히 나시 끈부분 입을때 엄청 늘리면서 입음) 그것만 조심하면 괜찮을 것 같아요! 물론 이가격에 1년넘게 잘 입은거 생각하면 끊어지는게 당연한 것 같기도 합니다… 제발 평생 팔아주세요"
ed7yUJ1j,상위 10%,2024-10-09,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,163.0,55.0,55,"[ 구매이유 ] 
브라랑 같이 착용하려니 불편해서 캡나시 사야겠다는 
생각이 들었음🤨 그래서 여기저기 찾아봤는데
그중에 요기가 가격이 적당하고 리뷰도 좋고 평점도 
나쁘지않아서 고민하고 또 고민하다가 사게되었음
!!광고 아님 내돈내산!!

[ 길이&색감 ] 
163cm기준 배꼽아래까지 내려옴
롱롱 나시 사고싶었는데 품절되서..아쉬웠음..
색상은 엄청 노란끼도는 아이보리가 아니라 이쁜 색감에
웜쿨 가릴것없이 이쁜색감임!! 
ㄹㅇ 이너로 활용하기 딱임

[ 소재&디테일 ]
까칠거리지 않고 보드라움 🫧 피부 민감하신분 추천!!
엄청 딱 붙는 느낌이 아니라서 편안함 

끈도 브라탑같지않고 약간 이쁘고 편한 끈이라서 마음에 들었음 ^~^ 그리고 목이 너무 휑하지 않아서 좋았음❤️

[ 착용감 ]
겨드랑이 끼는 느낌 안 듦!! ❌ 나시 살짝 올리면 부유방도 가려줌 캡도 딱히 불편하진 않았음 ((가슴이 작아서 그런가 ;;또르륵….😢))
흰색나시인데 캡도 잘 안비치고 이너로 활용하기 넘 좋음
진작 살껄 그랬음 다른색깔도 쟁겨놓고싶음!! \\+~+//

🍀완젼 그냥 럭키비키니시티🍀

+내 인생템임 아직 빨래 안돌려봐서 모르겠는데 보풀은 
어쩔수없이 잘 생길것같음 손빨래가 제일 안전할듯!

[ 아쉬운점 ]
그 셔링 주름이 뱃살같이 잡혀서 좀 아쉬움..😅
이너로 안 입고 나시를 단독으로 입으면 주름 괜춘한데 위에 셔츠나 후드티 걸치고 입으면 뱃살같음ㅎ..
(자연스럽게 안잡혀서 아쉬움ㅠ 조금 다듬어주면 괜춘)

그리고 걸을 때마다 배꼽이 살짝 보이게 나시가 자꾸 
올라와서 유교걸들은 한번씩 나시 다듬어주면서 췍췍해줘야함 ✔️✔️ 
(( 여름에 입긴 조큼 더울것같음! 봄, 가을 이너로 추천 ))

색상은 첫번째 사진과 젤 유사합니다요
⭐️가성비 괜춘하고 좋은제품 찾았는데 나시 단종되면 진짜 슬플것같음.. 계속 판매해 주셨으면 하는 바램…⭐️"
sweKM9br,상위 5%,2024-10-07,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,50.0,55,쫀쫀하고 좋아요!! 많이 안 늘어날 것 같구여 캡이 조금 딱딱한 것 같긴 하지만 이정도 가성비면 훌륭하다고 생각합니다ㅎㅎ 끈은 얇고 잘 떨어질 것 같이 생겼는데 의외로 튼튼하게 붙어있어용 저는 가디건 이너로 입었는데 세트같구 좋네여ㅎㅎ
tZ7ia2xl,상위 10%,2024-10-04,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,173.0,55.0,55,전에 잘 입고 있었는데 저에겐 끈이 좀 짧아서 당겨입다 보니까 끈이 끊어졌더라구요ㅠ 그래서 새로 구입하는 김에 긴버전으로 시켰는데 딱 배 가려주고 너무 좋아요! 다만 아직도 바스트가 살짝 아래로 쳐진 저에겐 끈이 짧습니다...ㅠ 그래도 패드부분 티 안나고 부드럽게 몸에 착 감기는 게 이것만한게 없어서 헤지면 또 구매할 것 같아요
E1nWoEhT,상위 20%,2024-10-03,(롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,51.0,55,"블랙 숏으로 구매했는데,
기장 너무 맘에 들고
무엇보다 캡이 내장되어 있어서
여름에 단독으로 입을 수 있다는 게 
가장 좋았어요 !!

망에 넣고 세탁하면
캡 손상이 크지 않은 것 같더라구요

저렴한 가격에 만족스러운 퀄리티
체고입니당 😻"
PxK9ASpm,상위 5%,2024-09-28,소라,one size,정사이즈예요,보통이에요,화면과 비슷해요,161.5682302771855,51.50699677072121,55,"얇지않아서 비침없고 패드도 약간 두께가 있어서 한여름에 막 그렇게 시원하지는 않아요
얇은 끈이지만 지탱 잘하고 튼튼한 느낌이에요
색은 연한 하늘색이라 하얀색 옷이랑 찰떡이네요
단독으로 입기에도 좋고 부유방이 좀 나오긴 하는데 팔 살짝 벌려서 사진 찍으면 되니까 ㅎㅎ"
dzptYdRA,상위 25%,2024-09-26,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,47.0,55,"여름에 얇은옷입을때 안에 편하게 입기 넘 조아요
캡내장되어있는건 좋은데 빨래 한 번 하니까 캡이 완전 뒤집어져서 안돌아오길래 한 번밖에 못 입고 새거샀어요 ㅜㅜ.. 캡 돌릴수있게 구멍이라도있었으면 좋았을 것 같아요"
haru24,상위 25%,2024-09-26,(롱ver)그레이,one size,생각보다 커요,아주 만족해요,화면과 비슷해요,153.0,48.0,55,"일단 엄청 편하구요 길이감도 딱 좋아요
근데 제 기준 생각보다 타이트하게 붙는 편은 아니라서
패드도 그냥 위에 얹어놓은 느낌이긴 하네요ㅋㅋㅋㅋ
그렇다고 엄청 널널한 것도 아니라 흘러내리거나
이상한 모양이 되거나 그러진 않아서 만족합니다
75b인데 컵 괜찮아요 근데 패드 두께가 있어서인지
기존 가슴보다 훨씬 커 보여서 살짝 부담스럽기도(?)

결론 : 편하고 길이감 좋음 전반적으로 만족하나,
타이트하게 잡아주거나 몸매보정 효과는 없는듯"
sumi****,알수없음,2024-09-24,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,156.0,43.0,55,"이건 진짜 좋아요 한장사고 너무 좋아서 바로 하나 더 구매. 
..하 너무 자주입어서 빨면 보풀이 생기는데도 재재재재구매할생각10000% 사계절 내내 살거예요.
너무 자주 입었는데 사진은 없네요 
여름 내내 입었고,, 더우면 그냥 바지에 요것만 입고다닐정도였어요

✨장점✨
1. 몸매가 좋아보임
2. 바지, 치마 여기저기 다 잘어울리고 단품으로 입어도 속옷같지않음
3. 패드가 있어서 속옷 착용 없이 너무 편하고 민망할상황 전혀 안생김(애엄마인데도 거뜬해요)"
세흐이,상위 5%,2024-09-21,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,46.0,44,"여행 가서 너무 잘 입고 왔어요! 🤍 얇은 셔츠 안에 입어주니까 너무 좋고 브라 착용하는 걸 별로 안 좋아하는데 안에 캡도 내장되어 있어서 착용하는 데 너무 편하고 잠옷으로도 입고 외출복으로도 입고 피부과 갈 때도 항상 입어요! 여러 장 사도 무조건 사길 잘했을 옷이고, 한 번 사면 무조건 만족할 수밖에 없는 옷인 것 같아요... 🍀 끈이 떨어지진 않을까 걱정했었는데 괜한 걱정이었어요! 짱짱하구 세탁기에 돌려도 옷이 줄어들거나 하지 않아요 🤍"
후기쓰는돼지맨,상위 10%,2024-09-17,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,169.0,51.0,55,"캡나시는 백퍼 불편하다고 생각했던 저... 이 나시를 입고 편견을 고쳤습니다✨️✨️

*두번째 사진은 홀터넥나시랑 레이어드 했을때 모양, 세번째 사진은 다른색상이긴 한데 옆 셔링 참고해주세요
- 캡모양: 제일 중요하다고 생각한 캡모양!!! 뽕이 너무 심하거나 뾰족하거나 너무 둥글거나 하지 않고 자연스러워요! 이 부분이 가장 마음에 들었습니다💕
- 길이: 키가 크고 상체가 긴편이라 롱 기장으로 했어요. 딱 이쁘게 배꼽 가립니다! 짧지도 길지도 않은 적당한 크롭이라 너무 예쁘고 편했어요
- 착용감: 캡이 조이지 않고, 소재도 부드럽습니다. 아무것도 안입은 기분임 ㅎㅎ

장점이 정말 많지만, 한두개만 꼽자면 역시 캡 모양이랑 옆구리 셔링입니다! 셔링 없었음 심심했을텐데 셔링이 있어서 날씬해보이고 패션도 더 사는느낌😉 너무 자주 입어서 꼬질해지는 중이라, 내년 여름에 또 구매하려고요ㅋㅋ 오래 많이 팔아주세요..."
후기쓰는돼지맨,상위 10%,2024-09-17,(롱ver)그레이,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,169.0,51.0,55,"캡나시는 백퍼 불편하다고 생각했던 저... 이 나시를 입고 편견을 고쳤습니다✨️✨️

- 캡모양: 제일 중요하다고 생각한 캡모양!!! 뽕이 너무 심하거나 뾰족하거나 너무 둥글거나 하지 않고 자연스러워요! 이 부분이 가장 마음에 들었습니다💕
- 길이: 키가 크고 상체가 긴편이라 롱 기장으로 했어요. 딱 이쁘게 배꼽 가립니다! 짧지도 길지도 않은 적당한 크롭이라 너무 예쁘고 편했어요
- 착용감: 캡이 조이지 않고, 소재도 부드럽습니다. 아무것도 안입은 기분임 ㅎㅎ

장점이 정말 많지만, 한두개만 꼽자면 역시 캡 모양이랑 옆구리 셔링입니다! 셔링 없었음 심심했을텐데 셔링이 있어서 날씬해보이고 패션도 더 사는느낌😉 너무 자주 입어서 꼬질해지는 중이라, 내년 여름에 또 구매하려고요ㅋㅋ 오래 많이 팔아주세요..."
bY2VoTtW,알수없음,2024-09-15,블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,164.0,54.0,44,"옆 셔링이 있어서 단독으로 입어도 예쁘겠지만.. 부유방을 가려주지 않아서 보통체격은 단독으로 예쁘게 입기 어려울 거 같아요 저는 블라우스 안에 입을거라 기본길이 했는데 하이웨스트 바지 위로 2-3센티 위까지 덮혀요! 
캡이 완전 고정이라 세탁기 돌려도 될 거 같은데 끈이 얇아서 세탁망 필수! 그리고 캡이 말랑하지 않아서 좀 별로지만 착용하고 겉보기엔 나쁘지 않아서 그냥저냥 입을만해요"
lkaelbl_,상위 15%,2024-09-10,아이보리,L,정사이즈예요,보통이에요,화면과 비슷해요,168.0,51.50699677072121,55,"사이즈 l
잘 늘어나서 여유있게 입을 수 있음

핏 굳
캡이 은근 두툼함
마른 분들은 단독으로 입어도 이쁠 듯

부유방 부각은 나시치고 심하진 않지만 없는 편은 아님
나시끈이 마스크 끈 같은 느낌이라 살짝 불편함

색상은 밝은 흰색!
근데 흰색보단 검정색이 더 이쁠 것 같음

—> 제 동생은 캡이 티가 많이 나는 것 같다고 하네용"
6Jb4PKeo,상위 10%,2024-09-07,(롱롱ver)블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,169.0,61.0,55,일단 커버가 일체형이라서 좋고 핏이 예쁘긴한데 컵이 좀 작은 느낌이 있습니다. 가슴에 맞게 조금 내리면 부유방이 좀 보이긴 합니다 ㅜㅠ그치만 이건 제 몸에 안 맞아서 그런 것 같고 옆구리에 셔링 덕분에 날씬해보여서 좋습니다!
